dataset,run,model,hop,hits,total,recall
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,2,61,70,0.8714
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,3,51,56,0.9107
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,4,38,41,0.9268
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,5,30,30,1.0
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,6,21,21,1.0
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,7,11,11,1.0
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,8,2,2,1.0
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,1,66,88,0.75
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,2,44,70,0.6286
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,3,37,56,0.6607
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,4,26,41,0.6341
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,5,19,30,0.6333
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,6,12,21,0.5714
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,7,9,11,0.8182
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,8,2,2,1.0
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,1,70,88,0.7955
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,2,55,70,0.7857
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,3,46,56,0.8214
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,4,36,41,0.878
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,5,27,30,0.9
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,6,21,21,1.0
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,7,11,11,1.0
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_SingleCall_gemini31b,gemini-3.1-pro-preview,8,2,2,1.0
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,1,50,88,0.5682
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,2,36,70,0.5143
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,3,32,56,0.5714
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,4,26,41,0.6341
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,5,21,30,0.7
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,6,19,21,0.9048
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,7,10,11,0.9091
LLMs4OL_PO_SUB,LLMs4OL_PO_SUB_SingleCall_gemma4b,google/gemma-4-31b-it,8,1,2,0.5
LLMs4OL_SchemaOrg_SUB,LLMs4OL_SchemaOrg_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,1,84,85,0.9882
LLMs4OL_SchemaOrg_SUB,LLMs4OL_SchemaOrg_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,2,44,44,1.0
LLMs4OL_SchemaOrg_SUB,LLMs4OL_SchemaOrg_SUB_Our_Method_k1000_clawback0_gemini31b,gemini-3.1-pro-preview,3,15,15,1.0
LLMs4OL_SchemaOrg_SUB,LLMs4OL_SchemaOrg_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,1,59,85,0.6941
LLMs4OL_SchemaOrg_SUB,LLMs4OL_SchemaOrg_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,2,37,44,0.8409
LLMs4OL_SchemaOrg_SUB,LLMs4OL_SchemaOrg_SUB_Our_Method_k1000_clawback0_gemma4b,google/gemma-4-31b-it,3,12,15,0.8
