Method,syn_count,n_nodes,gt_incident,gt_recovered,pred_incident,pred_correct,recall,precision,f1
Our_Method_legacy_vocab_fix_k1000_clawback0,2,6,0,0,127,120,,0.9448818897637795,
Our_Method_legacy_vocab_fix_k1000_clawback0,3,1,0,0,17,15,,0.8823529411764706,
Our_Method_legacy_vocab_fix_k1000_clawback0,4,1,0,0,96,96,,1.0,
Our_Method_no_conversational_k1000_clawback0,1,1016,6050,5084,7257,4135,0.8403305785123967,0.5697946809976574,0.6791111508525304
Our_Method_no_conversational_k1000_clawback0,2,18,0,0,314,202,,0.643312101910828,
Our_Method_no_conversational_k1000_clawback0,3,2,0,0,137,112,,0.8175182481751825,
Our_Method_no_conversational_k1000_clawback0,4,1,0,0,92,91,,0.9891304347826086,
Our_Method_no_example_k1000_clawback0,1,1014,6050,5050,7268,4077,0.8347107438016529,0.5609521188772703,0.6709826175161013
Our_Method_no_example_k1000_clawback0,2,14,0,0,252,167,,0.6626984126984127,
Our_Method_no_example_k1000_clawback0,3,3,0,0,102,55,,0.5392156862745098,
Our_Method_no_example_k1000_clawback0,4,1,0,0,88,87,,0.9886363636363636,
Our_Method_no_example_k1000_clawback0,5,2,0,0,86,84,,0.9767441860465116,
Our_Method_no_quantifier_k1000_clawback0,1,1018,6050,5332,8396,4259,0.8813223140495868,0.5072653644592663,0.6439122163643731
Our_Method_no_quantifier_k1000_clawback0,2,18,0,0,365,204,,0.5589041095890411,
Our_Method_no_quantifier_k1000_clawback0,3,3,0,0,63,29,,0.4603174603174603,
Our_Method_no_quantifier_k1000_clawback0,4,1,0,0,92,92,,1.0,
Our_Method_no_quantifier_k1000_clawback0,8,1,0,0,86,84,,0.9767441860465116,
Our_Method_no_restriction_k1000_clawback0,1,1017,6050,5074,7799,4376,0.8386776859504133,0.5610975766123862,0.672365099929102
Our_Method_no_restriction_k1000_clawback0,2,20,0,0,380,196,,0.5157894736842106,
Our_Method_no_restriction_k1000_clawback0,3,3,0,0,119,108,,0.907563025210084,
Our_Method_oneway_k1000_clawback0,1,1017,6050,4800,6142,3842,0.7933884297520661,0.6255291436014327,0.699529830803574
Our_Method_oneway_k1000_clawback0,2,22,0,0,370,182,,0.4918918918918919,
Our_Method_oneway_k1000_clawback0,3,1,0,0,3,1,,0.3333333333333333,
Our_Method_oneway_k1000_clawback0,4,2,0,0,110,106,,0.9636363636363636,
Our_Method_oneway_k1000_clawback0,9,1,0,0,83,83,,1.0,
SBU_Batch,1,5674,36126,7226,11604,7226,0.20002214471571722,0.6227163047225095,0.3027865074376702
SBU_Embedding,1,2865,17276,1528,11378,1528,0.08844639962954387,0.13429425206538934,0.10665177636630138
SingleCall,1,704,4706,1750,2312,1750,0.3718657033574161,0.7569204152249135,0.4987175833570818
SingleCall_gemini31b,1,702,4706,2302,3072,2260,0.48916277093072674,0.7356770833333334,0.5876128856205326
SingleCall_gemini31b,2,1,0,0,16,16,,1.0,
SingleCall_gemma4b,1,702,4706,2592,3608,2592,0.5507862303442413,0.7184035476718403,0.6235265816694732
SingleCall_matched,1,702,4706,2598,3480,2441,0.5520611984700382,0.7014367816091954,0.6178486706163846
SingleCall_matched,2,2,0,0,92,51,,0.5543478260869565,
SingleCall_nomerge,1,704,4706,1490,2044,1490,0.3166170845728857,0.7289628180039139,0.44148148148148153
TaxoLLaMA_PPL15.0,1,1193,7062,1948,5884,1948,0.2758425375247805,0.3310673011556764,0.3009423760234821
Vector,1,2153,14230,2036,27930,2036,0.14307800421644412,0.07289652703186537,0.09658444022770397
