Dataset,Method,syn_count,n_nodes,gt_incident,gt_recovered,pred_incident,pred_correct,recall,precision,f1
CellOntology_SUB,Our_Method_+restructure_prune_only_top25_k1000_clawback0,3,1,0,0,35,15,,0.42857142857142855,
CellOntology_SUB,Our_Method_+restructure_ranked_k1000_clawback0,1,108,1210,342,295,262,0.28264462809917357,0.888135593220339,0.4288196023067167
CellOntology_SUB,Our_Method_+restructure_ranked_k1000_clawback0,2,5,0,0,20,17,,0.85,
CellOntology_SUB,Our_Method_+restructure_ranked_k1000_clawback0,4,1,0,0,1,1,,1.0,
CellOntology_SUB,Our_Method_+restructure_ranked_top25_k1000_clawback0,1,111,1210,1054,881,597,0.8710743801652893,0.677639046538025,0.7622766126531246
CellOntology_SUB,Our_Method_+restructure_ranked_top25_k1000_clawback0,2,7,0,0,124,114,,0.9193548387096774,
CellOntology_SUB,Our_Method_+restructure_ranked_top25_k1000_clawback0,3,1,0,0,35,15,,0.42857142857142855,
CellOntology_SUB,Our_Method_alt_Prompt_k1000_clawback0,1,111,1210,1112,1339,879,0.9190082644628099,0.6564600448095593,0.7658576220403218
CellOntology_SUB,Our_Method_alt_Prompt_k1000_clawback0,2,4,0,0,42,14,,0.3333333333333333,
CellOntology_SUB,Our_Method_alt_Prompt_k1000_clawback0,3,2,0,0,9,1,,0.1111111111111111,
CellOntology_SUB,Our_Method_alt_Prompt_k1000_clawback0,4,1,0,0,32,24,,0.75,
CellOntology_SUB,Our_Method_alt_Prompt_k=1000,1,106,1210,788,948,741,0.6512396694214876,0.7816455696202531,0.710508543872906
CellOntology_SUB,Our_Method_alt_Prompt_k=1000,2,1,0,0,5,4,,0.8,
CellOntology_SUB,Our_Method_alt_Prompt_k=1000,4,1,0,0,3,3,,1.0,
CellOntology_SUB,Our_Method_direct_k1000_clawback0,1,110,1210,1100,1362,899,0.9090909090909091,0.6600587371512482,0.7648134756901611
CellOntology_SUB,Our_Method_direct_k1000_clawback0,2,3,0,0,20,8,,0.4,
CellOntology_SUB,Our_Method_direct_k1000_clawback0,3,1,0,0,22,12,,0.5454545454545454,
CellOntology_SUB,Our_Method_direct_k1000_clawback0,4,1,0,0,6,3,,0.5,
CellOntology_SUB,Our_Method_full_json_k1000_clawback0,1,109,1210,1038,959,654,0.8578512396694215,0.6819603753910324,0.7598599045658619
CellOntology_SUB,Our_Method_full_json_k1000_clawback0,2,5,0,0,135,121,,0.8962962962962963,
CellOntology_SUB,Our_Method_full_json_k1000_clawback0,3,1,0,0,2,1,,0.5,
CellOntology_SUB,Our_Method_full_k1000_clawback0,1,112,1210,1090,944,613,0.9008264462809917,0.649364406779661,0.7547001451411597
CellOntology_SUB,Our_Method_full_k1000_clawback0,2,7,0,0,40,25,,0.625,
CellOntology_SUB,Our_Method_full_k1000_clawback0,3,1,0,0,4,1,,0.25,
CellOntology_SUB,Our_Method_full_k1000_clawback0,5,1,0,0,90,89,,0.9888888888888889,
CellOntology_SUB,Our_Method_isa_k1000_clawback0,1,113,1210,1134,1064,794,0.9371900826446281,0.7462406015037594,0.8308857591601778
CellOntology_SUB,Our_Method_isa_k1000_clawback0,2,7,0,0,118,95,,0.8050847457627118,
CellOntology_SUB,Our_Method_isa_k1000_clawback0,3,1,0,0,1,0,,0.0,
CellOntology_SUB,Our_Method_isa_k1000_clawback0,4,1,0,0,27,25,,0.9259259259259259,
CellOntology_SUB,Our_Method_k1000_clawback0,1,105,1210,1176,1579,1125,0.971900826446281,0.7124762507916402,0.8222104970737881
CellOntology_SUB,Our_Method_k1000_clawback0,2,1,0,0,23,17,,0.7391304347826086,
CellOntology_SUB,Our_Method_k1000_clawback0_gemini31b,1,106,1210,1176,1487,1119,0.971900826446281,0.7525218560860794,0.8482567774797579
CellOntology_SUB,Our_Method_k1000_clawback0_gemini31b,2,2,0,0,25,17,,0.68,
